id.videoId,title,description,weight,unit,reps,special,reviewed
Ms64fHyxQoI,Deadlift PR 11/29/2020 - 495 @ 286 lb,,495,lb,1,,TRUE
nKAUQ5c23vA,Kayla C 190 Deadlift PR 1/7/19,,NA,NA,NA,,TRUE
dBVlfi-UNnY,190 kg deadlift pr #gym #powerlifting #deadlift,,190,kg,1,,TRUE
Sfxc3yTeKz8,DEADLIFT PR,You know it's a good day when you hit your former 1 rep max for a 5 rep PR. Here is 355lbs.x3x5. Smart programming means all ...,355,lb,5,,TRUE
1yt6w5HbQuA,675LB Rep PR On Deadlift | Should I Be Worried? | Powerlifting Prep Ep. 10,Enjoy the video? Like & Subscribe! My Website: http://www.russwole.com Get Alphalete Apparel: http://alphaleteathletics.com Get ...,675,lb,1,,TRUE
NvzE_4wITTw,405# Deadlift PR,After a 5k run I got my PR on the deadlift.,405,NA,1,,TRUE
5zUGygfeFD0,280kg/616lb deadlift off 2.5&quot; inch blocks at 16 years old,Follow me on instagram @isaaclee_fitness.,280,kg,1,,TRUE
#NAME?,Deadlift champion || DEADLIFT  PR || back strength #trending #deadlift #powerlifting #viral #shorts,,NA,NA,NA,,TRUE
uCT9BG-4PX8,245 lbs conventional deadlift pr / #deadlift #deadlifting #weightlifting #pr #powerlifting,,245,lb,1,,TRUE
Rsy5ypooizs,"Deadlift PR 545x2, strongest my deadlifts have ever felt!!! #deadlift #pr #strongman #powerlifting",,545,NA,2,,TRUE
zBF4YV41z5Y,475 lb Deadlift PR (215.5 kg),"First grind I ever had. Previous PR was 425, I don't max often.",475,lb,1,,TRUE
luJjThhmS6I,"NO EASY WAY presents: Going for 250 kg (550 lbs) Deadlift PR ! - 5/3/1 Workout - C5, W2, D2 !","Zur Zeit läuft es wieder richtig gut. So gut, dass ich sogar nen PR beim Kreuzheben probiere, obwohl ich erst das zweite mal ...",250,kg,1,,TRUE
ZbJi3vFEypc,Deadlift PR 170 kg #power #deadlift,,170,kg,1,,TRUE
EZSsK5i6pwY,600lbs deadlift PR!,,600,lb,1,,TRUE
tcddAkCmoys,Warmup to a 736 lbs PR 🔥#powerlifting #shorts #strength #deadlift #deadlifting,,736,lb,1,,TRUE
JBXwE6gVFds,220 lb middle finger deadlift pr,,220,lb,1,,TRUE
ptfYyywQgDE,Matt Disbrow - 635x6 deadlift all-time rep pr,,635,,6,,TRUE
jBeiFy-CXvQ,Pushing to failure...Deadlift PR #shorts,PRs = Drugs - - -- - How does my insta look? https://www.instagram.com/priyanshuprajapatilifts/ - - - - - - - #bodybuilding #strength ...,NA,NA,NA,,TRUE
G23rj_iaM9I,If it doesn&#39;t challenge you it won&#39;t change you #gym #motivated #deadlift #pr,,NA,NA,NA,,TRUE
nLctGQXc88Q,Deadlift PR! 410lbs. | Fitness | Scottsdale | Coach | Gym | Personal Training,,410,lb,1,,TRUE
iaaw6UsM0iU,PR on deadlifts today. - Not the cleanest but,,NA,NA,NA,,TRUE
BHgy1t1rEYU,620LB CONVENTIONAL DEADLIFT PR,15lb PR. They made me put mats under the weight because apparently I give some members ptsd (2nd time) I countered it ...,620,lb,1,,TRUE
9MeGKVUEiLU,hit the 455 lb trap bar deadlift PR! #workout #deadlift #weightlifting,,455,lb,1,trap,TRUE
4hI4ojmy1Gs,611LBS Deadlift PR,Hit this in training once also but heaviest lift I've done at a powerlifting meet. Hoping to open with this one day #powerlifting ...,611,lb,1,,TRUE
PrJzl-6IYH0,Whats your Deadlift PR? 455 for me today. #shorts #short #gym #lifting #deadlift #pr,,455,,1,,TRUE
epeVzLD3Fck,Deadlift PR- 283 kg (625 lbs),+20 lb PR.,283,kg,1,,TRUE
pAvTg-9tHeM,405 Deadlift PR | When am I Doing my Next Bulk?,HTLT Supps: https://www.htltsupps.com/?ref=luiscr... - Helimix: https://bit.ly/2TczA3N Use code: LUIS For 20% off! - Greg Doucette ...,405,,1,,TRUE
8XK6ETfM7mc,Kristina K - Deadlift PR 230# 6-26-15,"Video created using Ubersense, a mobile app to help coaches and athletes analyze sporting technique using video. Get it at ...",230,,1,,TRUE
